hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,7,2024,2178,162,1.3,2.2,0.9,8.1,3.9,4.4,3.2,10.5,5.2
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,8,2024,2145,157,1.2,2.1,0.9,7.9,3.8,4.2,3.1,10.3,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,9,2024,2121,155,1.2,2.0,0.8,7.8,3.8,4.2,3.0,10.1,5.0
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,10,2024,2167,161,1.2,2.1,0.9,8.0,3.9,4.3,3.2,10.4,5.2
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,11,2024,2139,158,1.2,2.1,0.9,7.9,3.8,4.3,3.1,10.3,5.1
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,12,2024,2189,164,1.3,2.2,0.9,8.1,3.9,4.4,3.3,10.6,5.3
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2025,2158,159,1.1,1.9,0.8,7.3,3.6,3.9,2.8,9.5,4.8
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,1,2024,1567,112,1.5,2.6,1.1,9.2,4.3,5.4,4.2,12.8,6.1
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,2,2024,1523,108,1.4,2.5,1.0,8.9,4.2,5.2,4.0,12.4,5.9
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,3,2024,1598,116,1.6,2.7,1.1,9.5,4.4,5.6,4.3,13.1,6.3
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,4,2024,1578,114,1.5,2.6,1.1,9.3,4.3,5.5,4.2,12.9,6.2
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,5,2024,1589,115,1.5,2.6,1.1,9.4,4.3,5.5,4.3,13.0,6.2
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,6,2024,1545,110,1.4,2.5,1.0,9.0,4.2,5.3,4.1,12.5,6.0
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,7,2024,1592,115,1.6,2.7,1.1,9.4,4.4,5.6,4.3,13.0,6.3
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,8,2024,1574,113,1.5,2.6,1.1,9.2,4.3,5.4,4.2,12.8,6.1
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,9,2024,1556,111,1.5,2.5,1.0,9.1,4.3,5.3,4.1,12.6,6.0
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,10,2024,1585,114,1.5,2.6,1.1,9.3,4.3,5.5,4.2,12.9,6.2
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,11,2024,1568,112,1.5,2.6,1.1,9.2,4.3,5.4,4.2,12.8,6.1
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,12,2024,1601,117,1.6,2.7,1.1,9.5,4.4,5.6,4.4,13.2,6.3
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,1,2025,1579,113,1.4,2.4,1.0,8.7,4.1,5.1,3.9,12.1,5.8
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,1,2024,987,68,3.8,6.2,3.1,16.7,6.8,14.2,9.5,24.3,9.7
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,2,2024,945,64,3.6,6.0,2.9,16.2,6.6,13.8,9.1,23.7,9.4
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,3,2024,1024,71,4.0,6.5,3.2,17.3,7.1,14.8,9.9,25.1,10.1
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,4,2024,1002,69,3.9,6.3,3.1,16.9,6.9,14.4,9.6,24.5,9.8
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,5,2024,1011,70,3.9,6.4,3.2,17.1,7.0,14.6,9.8,24.8,10.0
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,6,2024,976,67,3.7,6.1,3.0,16.5,6.7,14.0,9.3,24.0,9.6
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,7,2024,1018,71,4.0,6.5,3.2,17.2,7.0,14.7,9.8,25.0,10.0
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,8,2024,998,69,3.8,6.3,3.1,16.8,6.9,14.3,9.6,24.4,9.8
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,9,2024,982,68,3.7,6.2,3.0,16.6,6.8,14.1,9.4,24.1,9.6
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,10,2024,1007,70,3.9,6.4,3.1,17.0,6.9,14.5,9.7,24.7,9.9
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,11,2024,993,69,3.8,6.3,3.1,16.8,6.8,14.3,9.5,24.4,9.7
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,12,2024,1026,72,4.1,6.6,3.3,17.4,7.1,14.9,10.0,25.2,10.2
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,1,2025,1001,69,3.6,5.9,2.9,15.8,6.5,13.5,8.9,23.2,9.2
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,1,2024,743,51,2.8,4.7,2.3,13.8,5.9,10.5,7.1,20.2,8.4
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,2,2024,712,48,2.6,4.5,2.1,13.3,5.7,10.1,6.8,19.6,8.1
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,3,2024,768,53,2.9,4.9,2.4,14.3,6.1,11.0,7.4,20.8,8.7
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,4,2024,751,52,2.8,4.8,2.3,14.0,6.0,10.7,7.2,20.5,8.5
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,5,2024,759,52,2.9,4.8,2.3,14.1,6.0,10.8,7.3,20.6,8.6
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,6,2024,728,50,2.7,4.6,2.2,13.5,5.8,10.3,6.9,19.9,8.2
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,7,2024,764,53,2.9,4.9,2.4,14.2,6.1,10.9,7.3,20.7,8.7
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,8,2024,748,52,2.8,4.7,2.3,13.9,5.9,10.6,7.2,20.4,8.5
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,9,2024,735,51,2.7,4.6,2.2,13.7,5.8,10.4,7.0,20.1,8.3
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,10,2024,756,52,2.8,4.8,2.3,14.0,6.0,10.7,7.2,20.5,8.6
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,11,2024,745,51,2.8,4.7,2.3,13.8,5.9,10.5,7.1,20.3,8.4
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,12,2024,770,54,3.0,4.9,2.4,14.4,6.1,11.1,7.5,20.9,8.8
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,1,2025,752,52,2.6,4.4,2.1,13.1,5.6,9.9,6.6,19.2,7.9
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,1,2024,1834,129,1.8,3.1,1.4,10.5,4.7,6.8,5.1,14.7,6.8
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,2,2024,1789,125,1.7,3.0,1.3,10.1,4.6,6.5,4.9,14.2,6.6
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,3,2024,1872,133,1.9,3.2,1.4,10.9,4.8,7.1,5.3,15.2,7.0
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,4,2024,1845,131,1.8,3.1,1.4,10.7,4.7,6.9,5.2,14.9,6.9
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,5,2024,1858,132,1.8,3.2,1.4,10.8,4.8,7.0,5.2,15.0,6.9
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,6,2024,1812,127,1.7,3.0,1.3,10.3,4.6,6.6,5.0,14.4,6.7
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,7,2024,1867,132,1.9,3.2,1.4,10.8,4.8,7.1,5.3,15.1,7.0
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,8,2024,1842,130,1.8,3.1,1.4,10.6,4.7,6.9,5.1,14.8,6.8
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,9,2024,1823,128,1.7,3.1,1.3,10.4,4.7,6.7,5.0,14.5,6.7
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,10,2024,1854,131,1.8,3.2,1.4,10.7,4.8,6.9,5.2,14.9,6.9
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,11,2024,1837,129,1.8,3.1,1.4,10.6,4.7,6.8,5.1,14.7,6.8
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,12,2024,1875,134,1.9,3.2,1.4,11.0,4.8,7.2,5.3,15.3,7.1
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,1,2025,1848,130,1.6,2.9,1.2,9.8,4.5,6.3,4.7,13.9,6.5
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,1,2024,1123,78,3.1,5.3,2.6,15.2,6.3,12.1,7.8,22.4,9.1
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,2,2024,1087,75,2.9,5.1,2.4,14.7,6.1,11.7,7.5,21.8,8.8
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,3,2024,1156,81,3.2,5.5,2.7,15.7,6.5,12.6,8.1,23.1,9.4
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,4,2024,1134,79,3.1,5.4,2.6,15.4,6.4,12.3,7.9,22.7,9.2
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,5,2024,1145,80,3.2,5.4,2.7,15.6,6.4,12.5,8.0,22.9,9.3
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,6,2024,1102,77,3.0,5.2,2.5,15.0,6.2,11.9,7.6,22.1,8.9
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,7,2024,1151,81,3.2,5.5,2.7,15.6,6.5,12.5,8.1,23.0,9.4
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,8,2024,1129,79,3.1,5.3,2.6,15.3,6.3,12.2,7.9,22.5,9.1
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,9,2024,1115,78,3.0,5.3,2.5,15.1,6.3,12.0,7.7,22.3,9.0
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,10,2024,1140,80,3.1,5.4,2.6,15.5,6.4,12.4,8.0,22.8,9.3
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,11,2024,1126,79,3.1,5.3,2.6,15.3,6.3,12.2,7.8,22.5,9.1
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,12,2024,1159,82,3.3,5.6,2.8,15.8,6.5,12.7,8.2,23.2,9.5
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,1,2025,1135,79,2.9,5.0,2.4,14.4,6.0,11.4,7.3,21.4,8.7
H008,Hospital México,Costa Rica,San José,San José Province,1,2024,892,61,2.5,4.3,2.0,12.9,5.5,9.3,6.4,18.7,7.8
H008,Hospital México,Costa Rica,San José,San José Province,2,2024,856,58,2.3,4.1,1.9,12.4,5.3,8.9,6.1,18.1,7.5
H008,Hospital México,Costa Rica,San José,San José Province,3,2024,923,64,2.6,4.5,2.1,13.4,5.7,9.7,6.7,19.3,8.1
H008,Hospital México,Costa Rica,San José,San José Province,4,2024,904,62,2.5,4.4,2.0,13.1,5.6,9.5,6.5,18.9,7.9
H008,Hospital México,Costa Rica,San José,San José Province,5,2024,912,63,2.6,4.4,2.1,13.3,5.6,9.6,6.6,19.1,8.0
H008,Hospital México,Costa Rica,San José,San José Province,6,2024,878,60,2.4,4.2,1.9,12.7,5.4,9.1,6.3,18.4,7.7
H008,Hospital México,Costa Rica,San José,San José Province,7,2024,918,63,2.6,4.5,2.1,13.3,5.7,9.7,6.6,19.2,8.1
H008,Hospital México,Costa Rica,San José,San José Province,8,2024,899,62,2.5,4.3,2.0,13.0,5.5,9.4,6.5,18.8,7.9
H008,Hospital México,Costa Rica,San José,San José Province,9,2024,886,61,2.4,4.3,2.0,12.8,5.5,9.2,6.4,18.6,7.8
H008,Hospital México,Costa Rica,San José,San José Province,10,2024,909,63,2.5,4.4,2.1,13.2,5.6,9.5,6.6,19.0,8.0
H008,Hospital México,Costa Rica,San José,San José Province,11,2024,895,62,2.5,4.3,2.0,13.0,5.5,9.3,6.4,18.8,7.8
H008,Hospital México,Costa Rica,San José,San José Province,12,2024,925,65,2.7,4.5,2.1,13.5,5.7,9.8,6.8,19.4,8.2
H008,Hospital México,Costa Rica,San José,San José Province,1,2025,906,62,2.3,4.0,1.8,12.1,5.2,8.7,6.0,17.8,7.4
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,1,2024,678,45,4.5,7.3,3.7,19.8,7.9,16.8,11.2,28.5,11.3
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,2,2024,645,42,4.2,7.0,3.5,19.1,7.6,16.2,10.7,27.6,10.9
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,3,2024,702,47,4.7,7.6,3.9,20.5,8.2,17.5,11.7,29.5,11.7
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,4,2024,687,46,4.6,7.4,3.8,20.1,8.0,17.1,11.4,29.0,11.5
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,5,2024,694,46,4.6,7.5,3.8,20.3,8.1,17.3,11.5,29.2,11.6
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,6,2024,662,44,4.3,7.1,3.6,19.5,7.7,16.5,10.9,28.0,11.1
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,7,2024,698,47,4.7,7.6,3.9,20.4,8.2,17.4,11.6,29.4,11.7
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,8,2024,683,45,4.5,7.3,3.7,19.9,7.9,16.9,11.3,28.6,11.4
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,9,2024,672,45,4.4,7.2,3.6,19.7,7.8,16.6,11.1,28.3,11.2
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,10,2024,691,46,4.6,7.5,3.8,20.2,8.1,17.2,11.5,29.1,11.6
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,11,2024,680,45,4.5,7.3,3.7,19.9,7.9,16.8,11.2,28.6,11.3
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,12,2024,705,48,4.8,7.7,3.9,20.6,8.3,17.6,11.8,29.6,11.8
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,1,2025,689,46,4.2,6.8,3.4,18.7,7.4,15.8,10.5,27.1,10.7
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,1,2024,543,36,5.2,8.4,4.3,21.7,8.6,18.9,12.8,31.2,12.5
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,2,2024,518,34,4.9,8.1,4.0,21.0,8.3,18.2,12.3,30.2,12.1
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,3,2024,564,38,5.4,8.7,4.5,22.4,8.9,19.6,13.3,32.3,13.0
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,4,2024,551,37,5.3,8.5,4.4,22.0,8.7,19.2,13.0,31.7,12.7
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,5,2024,557,37,5.3,8.6,4.4,22.2,8.8,19.4,13.1,31.9,12.8
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,6,2024,531,35,5.0,8.2,4.1,21.3,8.4,18.5,12.5,30.6,12.3
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,7,2024,560,38,5.4,8.7,4.5,22.3,8.9,19.5,13.2,32.2,12.9
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,8,2024,548,37,5.2,8.5,4.3,21.8,8.7,19.0,12.9,31.3,12.6
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,9,2024,539,36,5.1,8.3,4.2,21.5,8.6,18.7,12.7,31.0,12.4
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,10,2024,554,37,5.3,8.6,4.4,22.1,8.8,19.3,13.1,31.8,12.8
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,11,2024,545,36,5.2,8.4,4.3,21.7,8.6,18.9,12.8,31.3,12.5
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,12,2024,567,39,5.5,8.8,4.5,22.5,9.0,19.7,13.4,32.5,13.1
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,1,2025,552,37,4.9,7.9,3.9,20.4,8.1,17.7,12.0,29.7,11.9
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,1,2024,423,28,6.8,10.5,5.6,26.4,10.8,24.1,16.2,38.7,15.8
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,2,2024,402,26,6.4,10.1,5.3,25.5,10.4,23.2,15.5,37.4,15.2
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,3,2024,439,29,7.1,10.9,5.8,27.3,11.2,25.0,16.9,40.1,16.4
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,4,2024,429,28,6.9,10.7,5.7,26.8,11.0,24.5,16.5,39.3,16.0
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,5,2024,434,29,7.0,10.8,5.7,27.0,11.1,24.7,16.7,39.7,16.2
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,6,2024,413,27,6.6,10.3,5.4,26.0,10.6,23.6,15.9,38.0,15.5
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,7,2024,436,29,7.1,10.9,5.8,27.2,11.2,24.9,16.8,40.0,16.3
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,8,2024,426,28,6.9,10.6,5.6,26.6,10.9,24.3,16.4,39.1,16.0
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,9,2024,419,28,6.7,10.4,5.5,26.2,10.7,23.9,16.1,38.5,15.7
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,10,2024,432,29,7.0,10.8,5.7,27.1,11.1,24.8,16.6,39.8,16.2
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,11,2024,424,28,6.8,10.6,5.6,26.5,10.8,24.2,16.2,38.9,15.9
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,12,2024,441,30,7.2,11.0,5.9,27.5,11.3,25.2,17.0,40.3,16.5
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,1,2025,430,28,6.4,9.8,5.2,24.9,10.2,22.8,15.2,36.8,15.0
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,1,2024,2687,189,2.1,3.6,1.6,11.3,4.9,7.5,5.8,15.4,6.9
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,2,2024,2623,184,2.0,3.5,1.5,10.9,4.8,7.2,5.5,14.9,6.7
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,3,2024,2745,194,2.2,3.8,1.7,11.7,5.1,7.9,6.1,16.0,7.2
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,4,2024,2698,191,2.1,3.7,1.6,11.5,5.0,7.6,5.9,15.6,7.0
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,5,2024,2718,193,2.2,3.7,1.7,11.6,5.0,7.8,6.0,15.8,7.1
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,6,2024,2654,187,2.0,3.5,1.6,11.1,4.9,7.3,5.7,15.1,6.8
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,7,2024,2738,194,2.2,3.8,1.7,11.7,5.1,7.8,6.1,15.9,7.2
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,8,2024,2694,190,2.1,3.6,1.6,11.4,4.9,7.6,5.9,15.5,6.9
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,9,2024,2671,188,2.1,3.6,1.6,11.2,4.9,7.4,5.8,15.3,6.9
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,10,2024,2713,192,2.1,3.7,1.7,11.6,5.0,7.7,6.0,15.7,7.1
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,11,2024,2689,189,2.1,3.6,1.6,11.4,4.9,7.5,5.8,15.4,6.9
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,12,2024,2750,195,2.3,3.8,1.7,11.8,5.1,8.0,6.2,16.1,7.3
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,1,2025,2703,191,1.9,3.4,1.5,10.6,4.7,7.0,5.4,14.6,6.5
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,1,2024,1456,102,1.9,3.3,1.5,10.8,4.8,7.1,5.4,15.2,7.0
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,2,2024,1419,99,1.8,3.2,1.4,10.4,4.7,6.8,5.2,14.7,6.8
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,3,2024,1487,105,2.0,3.4,1.5,11.2,5.0,7.4,5.6,15.7,7.2
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,4,2024,1463,103,1.9,3.3,1.5,11.0,4.9,7.2,5.5,15.4,7.1
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,5,2024,1474,104,2.0,3.4,1.5,11.1,4.9,7.3,5.5,15.5,7.1
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,6,2024,1437,101,1.8,3.2,1.4,10.6,4.8,6.9,5.3,14.9,6.9
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,7,2024,1481,104,2.0,3.4,1.5,11.1,4.9,7.4,5.6,15.6,7.2
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,8,2024,1460,103,1.9,3.3,1.5,10.9,4.9,7.2,5.4,15.3,7.0
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,9,2024,1447,102,1.9,3.3,1.4,10.7,4.8,7.0,5.3,15.1,6.9
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,10,2024,1470,104,1.9,3.3,1.5,11.0,4.9,7.3,5.5,15.5,7.1
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,11,2024,1458,102,1.9,3.3,1.5,10.9,4.8,7.1,5.4,15.3,7.0
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,12,2024,1490,106,2.1,3.5,1.6,11.3,5.0,7.5,5.7,15.8,7.3
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,1,2025,1465,103,1.7,3.0,1.3,10.1,4.6,6.6,5.0,14.4,6.7
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,1,2024,1723,121,1.0,1.8,0.7,7.1,3.5,3.6,2.6,9.1,4.7
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,2,2024,1682,118,0.9,1.7,0.6,6.8,3.4,3.4,2.4,8.7,4.5
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,3,2024,1759,124,1.1,1.9,0.7,7.4,3.6,3.8,2.7,9.5,4.9
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,4,2024,1734,122,1.0,1.8,0.7,7.2,3.5,3.7,2.6,9.3,4.8
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,5,2024,1745,123,1.0,1.9,0.7,7.3,3.6,3.7,2.7,9.4,4.8
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,6,2024,1703,120,1.0,1.8,0.7,7.0,3.5,3.5,2.5,9.0,4.6
